3.8481,10.1539,-3.8561,-4.2228,0
4.0047,0.45937,1.3621,1.6181,0
-0.048008,-1.6037,8.4756,0.75558,0
-1.2667,2.8183,-2.426,-1.8862,1
2.2034,5.9947,0.53009,0.84998,0
5.7353,5.2808,-2.2598,0.075416,0
3.6277,0.9829,0.68861,0.63403,0
-1.0401,9.3987,0.85998,-5.3336,0
3.4647,-3.9172,3.9746,0.36119,0
4.3365,-3.584,3.6884,0.74912,0
-1.8439,-8.6475,7.6796,-0.66682,1
-2.0529,3.8385,-0.79544,-1.2138,1
4.8906,-3.3584,3.4202,1.0905,0
-3.0265,-0.062088,0.68604,-0.055186,1
-3.2692,-12.7406,15.5573,-0.14182,1
-1.5252,-6.2534,5.3524,0.59912,1
0.1848,6.5079,2.0133,-0.87242,0
-2.6479,10.1374,-1.331,-5.4707,0
-3.2778,1.8023,0.1805,-2.3931,1
-1.7479,-5.823,5.8699,1.212,1
-0.40951,-0.15521,0.060545,-0.088807,1
-3.9204,4.0723,-0.23678,-2.1151,1
-2.9672,-13.2869,13.4727,-2.6271,1
3.9899,-2.7066,2.3946,0.86291,0
2.3718,7.4908,0.015989,-1.7414,0
-0.82053,0.65181,-0.48869,-0.52716,1
3.4667,-4.0724,4.2882,1.5418,0
-0.36038,4.1158,3.1143,-0.37199,0
1.7819,6.9176,-1.2744,-1.5759,0
-0.53966,7.3273,0.46583,-1.4543,0
4.8265,0.80287,1.6371,1.1875,0
3.404,8.7261,-2.9915,-0.57242,0
-1.7582,2.7397,-2.5323,-2.234,1
-3.5985,-13.6593,17.6052,-2.4927,1
1.518,5.6946,0.094818,-0.026738,0
-0.11783,-1.5789,8.03,-0.028031,0
-1.005,0.084831,-0.2462,0.45688,1
-3.0193,1.7775,0.73745,-0.45346,1
4.2756,-2.6528,2.1375,0.94437,0
4.3937,0.35798,2.0416,1.2004,0
